Product (Ticket ID),Work Description (Ticket),Incident Description (Ticket),Month,Product Category
MPM5588PRB,"DISPLAY FLICKERING NEED TO BE CHANGED

SHARP LQ121S1LGjul3 DIS","DISPLAY FLICKERING.

THRU MAIL FROM

 LIFE CARE SYSTEMS",jul,Patient monitors
MPM5588PRB,(reason not mentioned),"ECG CABEL PROBLEM 

THRU MR CHAMAN

(Sent to delhi for servi",jul,Patient monitors
MFM9853,Resolved,"Toco probe is not working

thru call from dealer(bharathi ra",jul,Foetal Monitor
MFM9853,(reason not mentioned),"Display not working properly

Thru call from dealer krutarth",jul,Foetal Monitor
M9108,(reason not mentioned),"ECG not coming properly 

THRU MAIL FROM DEALER(99083285jul4)
",jul,Electrocardiographs-Multi channel
M9108,(reason not mentioned),"ECG NOT COMING PROPERLY 

THRU MR SAJIMUL 

MON 

jul9081jul1611",jul,Electrocardiographs-Multi channel
M9108,(reason not mentioned),"paper is not coming

THRU MAIL FROM

Electrocare Services",jul,Electrocardiographs-Multi channel
M9108,(reason not mentioned),"ECG Cable problem  

THRU MAIL FROM

Medic India",jul,Electrocardiographs-Multi channel
MFM9854,(reason not mentioned),"DISPLAY NOT WORKING

THRU MR JUSTIN 

9895894558",jul,Foetal Monitor
MFM9854,(reason not mentioned),"DISPLAY NOT WORKING
THRU MR JUSTIN 

9895894558",jul,Foetal Monitor
MFM9854,(reason not mentioned),"Machine is automictically switching off

thru call from cust",jul,Foetal Monitor
MFM9854,(reason not mentioned),"Sound not coming 

THRU MAIL FROM

Chennai Medic India",jul,Foetal Monitor
MFM9854,(reason not mentioned),"Display problem  

THRU MAIL FROM MEDIC INDIA

",jul,Foetal Monitor
MFM9854,(reason not mentioned),"MAIN BOARD PROBLEM

THRU CALL FROM DEALER(TAMILVANAN)

$",jul,Foetal Monitor
MFM9854,(reason not mentioned),"Toco probe not working

THRU MAIL FROM MEDIC INDIA

O/W",jul,Foetal Monitor
MFM9852,(reason not mentioned),"DISPLAY ISSUE

THRU MAIL FROM DIGITECH MEDICARE",jul,Foetal Monitor
MFM9852,(reason not mentioned),"DISPLAY ISSUE

THRU MAIL FROM JASBIR CHAANA",jul,Foetal Monitor
MFM9852,(reason not mentioned),"MAIN BOARD ISSUE

THRU CALL FROM VAMSI

Healtth-Line Medi Sy",jul,Foetal Monitor
MFM9852,(reason not mentioned),"Printing problem 

THRU MAIL FROM MEDIC INDIA AP",jul,Foetal Monitor
MFM9852,(reason not mentioned),(reason not mentioned),jul,Foetal Monitor
MFM9852T,machine checked on 18.jul.23 by our team and found FHR2 probe,"FHR PROBE NOT GIVING SOUND

THRU MAIL FROM BASABANANDA GOSWA",jul,Foetal Monitor
MPMEXCELLOD,(reason not mentioned),"BP Problem

THRU MAIL FROM

ASHISH MEDICARE",jul,Patient monitors
MPMEXCELLOD,(reason not mentioned),"BM 100BOARD PROBLEM AND SEND TO CW.

Dispatch From Factory.",jul,Patient monitors
MPMEXCELLOD,(reason not mentioned),"Spo2 & BP not working

THRU MAIL FROM 

ASHISH MEDICARE",jul,Patient monitors
MPMEXCELLOD,(reason not mentioned),"MACHINE NOT TURN OFF 

THRU MR ALEX 

MOB",jul,Patient monitors
MPMEXCELLOD,(reason not mentioned),"Showing SPO2 sensor off

Cust Cont no:8042994299",jul,Patient monitors
MAMEFLO6,(reason not mentioned),"BACKSID CYLINDER YORK ISSUE

O/W

THRU MAIL FROM NARESH

995",jul,Anaesthesia work station
MAMEFLO6,(reason not mentioned),"O2 sensor failure/auto supply issue

Thru call from dealer k",jul,Anaesthesia work station
MAMEFLO6,(reason not mentioned),(reason not mentioned),jul,Anaesthesia work station
MAMEFLO6,(reason not mentioned),"Leakage from Vaporiser

THRU MAIL FROM

NAGARJUN P

",jul,Anaesthesia work station
MAMEFLO6,(reason not mentioned),"Leakage from Vaporiser
THRU MAIL FROM

NAGARJUN P",jul,Anaesthesia work station
MAMEFLO6,replaced circuit than machine is working fine.,"High leakage

thru call from customer(6201421801)

$",jul,Anaesthesia work station
MAMEFLO6,(reason not mentioned),"Machine is not getting on

Thru call from customer(Mr.Chanda",jul,Anaesthesia work station
MAMEFLO6,removed leakage from vaporizer.. Now machine working ok.,"Leakage

thru call from customer(983jul835568-sajid)

$",jul,Anaesthesia work station
MBPLEVS3643-WP-ASM,damaged detector has sent to OEM.,"PHYSICAL DAMAGE

THRU CALL FROM NAGARJUN

$",jul,X-ray
BPLMVLSMEL600CTR,"BPL-ELISA 600-0662200 replaced , found working fine 

","SENSER ERROR 

THRU MR SOURAV RANJITH 

jul90jul853030",jul,Lowenstein ventilators
MACQUNITNEO,(reason not mentioned),"c1 not working 

thru mr rohan

 

62069juljul499",jul,STS-Stress test system
MOGOXY5NEOS,(reason not mentioned),"MACHINE ERROR 4

THRU MR MUSHTAQ 

MOB

9jul9juljul93144",jul,Oxygen concentrator
MOGOXY5NEOS,(reason not mentioned),"not working

THRU MAIL FROM

CUSTOMER",jul,Oxygen concentrator
MOGOXY5NEOS,(reason not mentioned),"NOT WORKING PROPERLY

THRU MAIL FROM MR.SWAPAN SARKAR",jul,Oxygen concentrator
MOGOXY5NEOS,unit returned,"MACHINE NOT WORKING THRU MAIL FROM

MR ANIL KUMAR",jul,Oxygen concentrator
MOGOXY5NEOS,(reason not mentioned),"MACHINE NOT WORKING 

THRU MS MEENA",jul,Oxygen concentrator
MECG9108D,(reason not mentioned),"Machine running on ac power but not working on battery

thru",jul,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),"calibration issue 

thru mr dr mahaveer

9jul53jul56514
",jul,Electrocardiographs-Multi channel
MECG9108D,"ELECTRODES DUSTY AND NEED TO BE CHANGED.

MACHINE CHECKED AN","ECG VARIATION

THRU MAIL FROM

LIFE CARE SYSTEMS",jul,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),ECG NOT WORKING PROPERLY,jul,Electrocardiographs-Multi channel
MECG9108D,as per our telephonic discussion adjust the paper & setting,"PAPER NOT COMING PROPERLY 

THRU MR KUMAR 

MOB 

8294855168",jul,Electrocardiographs-Multi channel
MECG9108D,Checked and found that Vibrations is coming in ECG. So clean,"Machine having vibration issue

Thru call from customer (Mr.",jul,Electrocardiographs-Multi channel
MECG9108D,"lead not comming

replace a new cable then machine working d","ECG CABLE NOT WORKING

THRU MAIL FROM HEART CARE CLINIC",jul,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),"Machine not getting

Thru mail from dealer hcare service

S",jul,Electrocardiographs-Multi channel
MECG9108D,Unit working good. problem solved.spare not required.,"MACHINE IS NOT GETTING ON

THRU CALL FROM CUSOMTER(HARIKRISH",jul,Electrocardiographs-Multi channel
BPLSYRPUMP1,(reason not mentioned),"

Acura S1 Unit Send to CW for R&D",jul,Syringe pump
BPLSYRPUMP1,(reason not mentioned),"Syringe not run 

THRU MAIL FROM MR INTRODUCTION MEDICAL SYS",jul,Syringe pump
BPLSYRPUMP1,(reason not mentioned),"NO DISPLAY 

THRU MAIL FROM HARMONY HEALTHCARE",jul,Syringe pump
BPLSYRPUMP1,Deepak Ji inspected the unit and found problem with syringe,"Syringe not run 

THRU MAIL FROM INTRODUCTION MEDICAL SYSTEM",jul,Syringe pump
BPLSYRPUMP1,MAIN CUSTOMER JAYA GUPTA REPLACED LED BOARD & DISPLAY WORKIN,"MACHINE IS IN STAND BY MODE,ONLY SHOWING CHARGING

THRU MAIL",jul,Syringe pump
BPLVOLPUMP1,(reason not mentioned),"MACHINE NOT WORKING 

THRU MAIL FROM MR BIPIN",jul,Volumetric Pump
BPLVOLPUMP1,(reason not mentioned),"MACHINE NOT WORKING 

THRU MAIL FROM MR BIPIN",jul,Volumetric Pump
BPLVOLPUMP1,(reason not mentioned),"MACHINE NOT WORKING 

THRU MAIL FROM MR BIPIN",jul,Volumetric Pump
382MXDIUAY,(reason not mentioned),"Image quality issue and communication error

thru call from",jul,Assemblies and Sub-Assemblies
MFD9jul14,OPERATING PROBLEM.DEMO GIVEN PROPERLY,"startup problem

thru mail from Electrocare service",jul,Foetal Doppler
MPMEV10TD,(reason not mentioned),"SPO2 not working NIBP not proper

thru mail from mr jyotirmo",jul,Patient monitors
MPMEV10TD,Replaced SMPS and resolved the problem.,"Not getting switching “ON”

Thru mail from RAMESH CHANDRA 

",jul,Patient monitors
MPMEV10TD,(reason not mentioned),"Keypad problem

THRU MAIL FROM

MEDIC INDIA AP South",jul,Patient monitors
MPMEV10TD,(reason not mentioned),"Keypad problem
THRU MAIL FROM

MEDIC INDIA AP South",jul,Patient monitors
MPMEV10TD,(reason not mentioned),"Display Not Working

THRU MAIL FROM

Delta Medical Technolog",jul,Patient monitors
MPMEV10TD,(reason not mentioned),"DISPLAY ISSUE

THRU CALL FROM DEALER VINOD PATEL

9925229959",jul,Patient monitors
MPMEV10TD,(reason not mentioned),"Keypad problem
THRU MAIL FROM

MEDIC INDIA AP South",jul,Patient monitors
MPMEV10TDVGA,"NIBP not measuring, When NIBP button press fully display Bla",During NIBP Start Display Fully Black,jul,Patient monitors
MPMEV10TDVGA,"NIBP not measuring NIBP motor working slow.

Check and found",NIBP Measuring issue,jul,Patient monitors
MPMEV10TDVGA,(reason not mentioned),"MACHINE ON/OFF ISSUE 

THRU MR VAMSI 

MOB 

jul995321646",jul,Patient monitors
MPM5588UPT,(reason not mentioned),"ETCO2 PROBLEM 

THRU MAIL FROM FAST BIO MEDICAL

 

V",jul,Patient monitors
696FLORETFBD1000,(reason not mentioned),"machine not getting on 

thru mr nitish",jul,Mother Infant Care
69julBLOSSOM100UAY,"CONTROL KNOB LOOSE DUE TO EXCESSIVE PRESSURE APPLIED.

CORRE","INTENSITY CONTROL NOT WORKING.

THRU MAIL FROM LIFE CARE SYS",jul,Mother Infant Care
BPLBLOSSOM100,(reason not mentioned),"blue light not glowing 

thru ms soumita 

mob 

9382269423",jul,Mother Infant Care
696FLORET100,(reason not mentioned),"Machine not working 

THRU MAIL FROM MR JYOTIMOY BANERJEE

O",jul,Mother Infant Care
MAMEFLOjul,(reason not mentioned),(reason not mentioned),jul,Anaesthesia work station
BPLBLOSSOMBLANKET,(reason not mentioned),Return and Replacement,jul,Mother Infant Care
MOGOXY10NEOD,(reason not mentioned),E3 Error Coming,jul,Oxygen concentrator
MOGOXY10NEOD,(reason not mentioned),"LOUD NOISE COMING

THRU CALL FROM YOGENDRA

9312003011",jul,Oxygen concentrator
MECUBE-Xjul0,2 D COLOUR FLOW ENCODER REPLACED,"2d pw button not working

thru call from tushant

dr.harjoth",jul,UltraSound
MAMEFLO6-3GAS,As per the user Ventilation problem occured during ventilati,"MACHINE NOT WORKING 

THRU MR KULDEEP 

 

CUSTOMER DR DHARA",jul,Anaesthesia work station
MAMEFLO6,(reason not mentioned),"LEAKAGE IN ISOFLURENE ISSUE

THRU MAIL FROM AKASH GUPTA",jul,Anaesthesia work station
MECG6108TB,(reason not mentioned),"ECG Graph is not working 

THRU MAIL FROM K R LYNCH & CO",jul,Electrocardiographs-single channel
MECG6108TB,(reason not mentioned),"-MACHINE NOT WORKING 

THRU MAIL FROM MR SUBIR -

9jul353juljul233",jul,Electrocardiographs-single channel
MDF2509,(reason not mentioned),"DISPLAY BOARD HAS TO BE REPLACED

O/W

THRU MAIL PULSE CARE",jul,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),Gear Assembly Problem,jul,Defibrillators- Mono phasic
MDF2509R,(reason not mentioned),"Head up problem

THRU MAIL FROM MEDIC INDIA",jul,Defibrillators- Mono phasic
MDF261jul,(reason not mentioned),"Printer Gear Assembly Problem.

THRU MAIL FROM

AMI SALES &",jul,Defibrillators-Bi-Phasic
MDF261jul,(reason not mentioned),"Display Blinking , Inverter PCB + Colour Display blinking

T",jul,Defibrillators-Bi-Phasic
MDF261julR,(reason not mentioned),"NOT WORKING PROPERLY

THRU MAIL FROM HCARE",jul,Defibrillators-Bi-Phasic
MDF261julR,(reason not mentioned),"Machine not working

THRU MAIL FROM

JMD MEDICAL DEVICES",jul,Defibrillators-Bi-Phasic
MDF261julR,RECODER REPAIR AND PADDEL PLATE CLEAN AND SPRING ADJUSTED SH,NO SHOCK DELIVERED AND RECORDER NOT WORKINH,jul,Defibrillators-Bi-Phasic
MDF261julR,(reason not mentioned),"battery backup not working 

thru mr renuka",jul,Defibrillators-Bi-Phasic
MBPLCRAYP,"Problem found in supply during exposure ,problem resolved.ma",(reason not mentioned),jul,C-Arm
MECGGENX3,MACHINE SERVICED,"print not coming 


thru Mr  Akhil

",jul,Electrocardiographs-Multi channel
MECGGENX3,(reason not mentioned),"Machine is not working on battery

THRU MAIL FROM

CUSTOMER",jul,Electrocardiographs-Multi channel
MECGGENX3,10 LEAD ECG CABLE IS DEFECTIVE,"6 leads (V1, V2, V3, V4, V5, V6) not shown in the graphs.

T",jul,Electrocardiographs-Multi channel
MECGGENX3,(reason not mentioned),(reason not mentioned),jul,Electrocardiographs-Multi channel
MECGGENX3S,Spoke to Mr.Sanjay as per his customer has purchased for 3rd,"V3 LEAD CONTINUOUSLY  VIBRATE 

thru mail from custonmer(898",jul,Electrocardiographs-Multi channel
MBPLMRAD100,resolve the supply issue & earthing issue. Now machine worki,"EXPOSURE ISSUE

THRU CALL FROM BHARTHI",jul,X-ray
MBPLMRAD100,(reason not mentioned),Oil Leak from X-ray Tube,jul,X-ray
MBPLXRAD100FC,(reason not mentioned),"COLLIMETOR NOT WORKING

RELAY BOARD REPLACED",jul,X-ray
MPMNSNjulM,(reason not mentioned),"spo2 not working 

thru mr Bharathi raja",jul,Patient monitors
MPMNSNjulM,New spo2 sensor replace after replacement machine working go,"SPO2 PROBE NOT WORKING

Thru call from dealer Bansal agency(",jul,Patient monitors
MBPLXRAD300FC,(reason not mentioned),"image clarity issue

THRU MAIL FROM

Sandeep Puthran",jul,X-ray
MBPLXRAD300-DR1KIT,(reason not mentioned),"OUT OF BOX FAILURE(

1.EXPOSURE GETTING STUCK IN 200MASTATIO",jul,X-ray
MBPLHRAD32PXR-FC,"found Colimeter wiring short ckt ,repapir wiring unit work s","COLIMETER NOT WORKING 

THRU MR GANGARAM 

92360jul6jul30",jul,X-ray
MBPLHRAD32PXR-FC,(reason not mentioned),"NOT SWITCHING ONN

THRU CALL FROM VENKATESH R",jul,X-ray
MBPLHRAD32PXR-FC,(reason not mentioned),"Machine is not getting on

Thru call from Customer(Mr. Shiv",jul,X-ray
MPM5644SNIBPSPO2,(reason not mentioned),"NOT WORKING

THRU MAIL FROM PCS",jul,Patient monitors
MPM5644SNIBPSPO2,(reason not mentioned),"Machine is not getting on

Thru call from dealer Neel distri",jul,Patient monitors
MBPLCRAYPXMED1KMG,(reason not mentioned),"CPU NOT SWITCHING ONN

THRU MAIL FROM DURGA SAMBA PRASAD",jul,C-Arm
MBPLCRAYPXMED1KMG,(reason not mentioned),(reason not mentioned),jul,C-Arm
MBPLCRAYPXMED1KMG,pc replaced and configured unit is working fine.,Pc replaced.configured software & settings.unit is working f,jul,C-Arm
MBPLXRAD500FC,Tube movement was hard. Clean it & lubricate it. Machine is,"Tube was too tight for movement

Thru call from dealer GMTec",jul,X-ray
MBPLXRAD500FC,(reason not mentioned),Exposure intermittently not working,jul,X-ray
MPMVIVEDVUE12NSPO2,(reason not mentioned),"Power supply issue

Thru call from dealer Fessing electronic",jul,Patient monitors
MPMVIVEDVUE12OXSPO2,(reason not mentioned),"SMPS BOARD ISSUE

O/W

THRU CALL FROM SHIVDAS

98606jul1346",jul,Patient monitors
MPMVIVEDVUE12NSPO2,(reason not mentioned),(reason not mentioned),jul,Patient monitors
MPMVIVEDVUE12NSPO2,(reason not mentioned),"PATIENT CABLE ISSUE

O/W

THRU CALL FROM PRIYA BHARTHI

9921",jul,Patient monitors
MPMVIVEDVUE12NSPO2,(reason not mentioned),"PCB ISSUE

THRU CALL FROM PRANAY KURVE",jul,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),"ECG Patient Cable Mot Working, Vibrations Coming.

Requires",jul,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),"SPO2 PROBE NOT WORKING

Replaced SPO2 Extension cable",jul,Patient monitors
MSTSTMILLU-BPL,ITEM RECEIVED,Handle top cover broken,jul,STS-Stress test system
MSTSTMILLU-BPL,(reason not mentioned),"not response from tredmill error

THRU MR PRAVEEN 

",jul,STS-Stress test system
MSTSTMILLU-BPL,(reason not mentioned),"cap broken

 

THRU MAIL FROM MR SHESHADRI VENKATESH",jul,STS-Stress test system
MSTSTMILLU-BPL,USB CABLE REPLACE WORKING OK,AQUISITION PORT ERROR,jul,STS-Stress test system
MBPLMRAD3.6+,(reason not mentioned),"screen blank 

thru ms Rajeswari 

mob 83380jul2223",jul,X-ray
MBPLHRAD40-DR1,(reason not mentioned),"Image Clarity Issue

THRU MAIL FROM MR NAGARUN P",jul,X-ray
MBPLCRAYPROPLUSMXSI,(reason not mentioned),image quality issue,jul,C-Arm
MBPLCRAYPROPLUSMXDI,customer not received call. as per dealer ( chari engg) unit,"GETTING SWITCHED OFF WHILE SHOOTING

THRU CALL FROM MISS PRI",jul,C-Arm
MBPLCRAYPROPLUSMXDI,FMI DONE BY TARUN SHAW,"HANGING ISSUE

O/W

THRU MAIL FROM SUMAN DALAL",jul,C-Arm
MBPLCRAYPROPLUSMXDI,(reason not mentioned),"HANGING ISSUE

THRU MAIL FROM RAVI KUMAR",jul,C-Arm
MBPLCRAYPROPLUSMXDI,Old call logged FMI has been already implemented for this cl,"HANGING ISSUE

THRU MAIL FROM RAVI KUMAR",jul,C-Arm
MBPLCRAYPROPLUSMXDI,Reconnect connector in cpu and Ram and after problem resolve,(reason not mentioned),jul,C-Arm
MBPLCRAYPROPLUSMXDI,(reason not mentioned),"Comunication Checking Error Coming

THRU CALL FROM CUSTOMER(",jul,C-Arm
MBPLCRAYPROPLUSMXDI,FMI Completed Successfully,"FMI (Field Modification Instructions)

THRU MAIL FROM MR KUL",jul,C-Arm
MBPLMRAD5.0,(reason not mentioned),"Display not showing

thru call from dealer Gmtec medical sys",jul,X-ray
MBPLCRAYPROPLUSXMED1K,Informed user to observe machine temprature and update accor,(reason not mentioned),jul,C-Arm
MBPLMRAD5.0DR,(reason not mentioned),"Machine is not working properly

Thru call from customer(Mr.",jul,X-ray
BPLSYRPUMP1,(reason not mentioned),"Occlusion Error Coming

O/W

THRU MAIL FROM

MEDISUN MEDICAL",aug,Syringe pump
MSTSTMILLU-BPL,(reason not mentioned),"USB CONNECTING CABLE FAULTY

THRU MAIL FROM
 RADIX HEALTHCAR",aug,STS-Stress test system
MPMEXCELLOD,(reason not mentioned),"Installation
THRU MAIL FROM

AMI SALES &  SERVICES",aug,Patient monitors
MPM5588PRB,(reason not mentioned),"INSTALLATION
THRU MAIL FROM
VIPIN KUMAR SHARMA",aug,Patient monitors
M108TDIGI,(reason not mentioned),"BASE LINE WANDERING

OUT OF BOX FAILURE
THRU MAIL FROM

GALA",aug,Electrocardiographs-single channel
MRELIFE900R,PENDING FOR HO,"Installation
THRU MAIL FROMRADIX HEALTHCARE",aug,Defibrillators-Bi-Phasic
MPMEXCELLOD,(reason not mentioned),"Installation
THRU MAIL FROM
MEDICARE SERVICES",aug,Patient monitors
MPM5588PRB,"
PENDING FOR HO","
Installation
THRU MAIL FROM
MEDICARE SERVICES",aug,Patient monitors
M9108,(reason not mentioned),"Installation
THRU MAIL FROM

MEDICARE SERVICES",aug,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),"Installation
THRU MAIL ROM
MEDICARE SERVICES",aug,Electrocardiographs-Multi channel
MOGOXY5NEOD,(reason not mentioned),"Installation
THRU MAIL FROMELECTRO CARE SALES",aug,Oxygen concentrator
MOGOXY10NEOD,(reason not mentioned),"Installation
THRU MAIL FROM'
medicare services",aug,Oxygen concentrator
MPMEXCELLOD,(reason not mentioned),"Installation
THRU MAIL FROM'
medicare services",aug,Patient monitors
MPM5588UPDS,(reason not mentioned),"Installation
THRU MAIL FROM'
medicare services",aug,Patient monitors
MECG6108TB,(reason not mentioned),"Installation
THRU MAIL FROM'
medicare services",aug,Electrocardiographs-single channel
MPMEXCELLOD,(reason not mentioned),"Installation
THRU MAIL FROM'
medicare services",aug,Patient monitors
MECG6208VIEWC,(reason not mentioned),"Installation
THRU MAIL FROM'
medicare services",aug,Electrocardiographs-Multi channel
MPMEXCELORADV,(reason not mentioned),"
BATTERY FAULTY
THRU MAIL FROM
Aman Pd Jaiswal",aug,Patient monitors
MPMEXCELORADV,(reason not mentioned),"SPO2 PROBE FAULTY  - PADIATRIC
THRU MAIL FROM
Aman Pd Jaiswa",aug,Patient monitors
MPMEXCELORADV,(reason not mentioned),"
BP CUFF & SPO2 PROBE FAULTY
THRU MAIL FROM
Aman Pd Jaiswal",aug,Patient monitors
MPMEXCELORADV,(reason not mentioned),"
BP CUFF & SPO2 PROBE FAULTY
THRU MAIL FROM
Aman Pd Jaiswal",aug,Patient monitors
MECGGENX3S,(reason not mentioned),"
INSTALLATION
THRU MAIL FROM
Delta Medical Technology",aug,Electrocardiographs-Multi channel
MFM9853,(reason not mentioned),"INSTALLATION
THRU MAIL FROM
Delta Medical Technology",aug,Foetal Monitor
MECG9108D,(reason not mentioned),"INSTALLATION
THRU MAIL FROM
Delta Medical Technology",aug,Electrocardiographs-Multi channel
M9108,(reason not mentioned),"
INSTALLATION
THRU MAIL FROM
MEDIC CARE ELECTRONICS",aug,Electrocardiographs-Multi channel
MPM5588UPDIBP,(reason not mentioned),"INSTALLATION
THRU MAIL FROM DELTA

ref ticket ID:84989

Sinc",aug,Patient monitors
FG5008230,closing for another ticket-88303(same call) as FOC SO number,"on off switch replaced

Ticket Ref: 8jul0854",aug,Penlon-Anaesthesia work station
MPMEXCELLOD,(reason not mentioned),INSTALLATION THRU MAIL FROM Inspiration Service,aug,Patient monitors
MPM5588UPDS,(reason not mentioned),"INSTALLATION

THRU MAIL FROM BABLU MAHAUR",aug,Patient monitors
MDF261julR,INSTALLATION MACHINE WORKING GOOD CONDITION,"INSTALLATION

THRU MAIL FROM Inspiration Service",aug,Defibrillators-Bi-Phasic
MPMEXCELLOD,INSTALLATION MACHINE WORKING GOOD CONDITION,"INSTALLATION

THRU MAIL FROM Inspiration Service",aug,Patient monitors
MECUBE-8LE,"REPLACED THE AN KEY PAD ASSY 

CHECK THE MACHINE FOUND OK 

",SOME KEYS STRUCKING AND HARD TO PRESS,aug,UltraSound
MECGGENX3,(reason not mentioned),"Battery new requirement

Bill to Be dealer

S",aug,Electrocardiographs-Multi channel
MDYNASTS,soft ware updated,"Software issue

AMC

Thru call from dealer ELIXIR MEDISYSTEM",aug,STS-Stress test system
MAMPLN465AGMO2SSAUTOID,Replaced new assembly & checked on patient its working ok.,"FICO2 VALUE MISMATCH.

THRU CALL FROM CUSTOMER MR. SHAHNIL

",aug,Penlon-Anaesthesia work station
MECGGENX3S,battery backup less then replace battery after problem has r,"Very less battery backup issue

Thru call from dealer gandhi",aug,Electrocardiographs-Multi channel
MAMPLN465AGMO2SSAUTOID,Replace Absorber assembly complete. & checked on patient mac,"FICO2 VALUE issue

THRU CALL FROM CUSTOMER MR. SHAHNIL

8268",aug,Penlon-Anaesthesia work station
MPMVIVEDVUE12NSPO2,(reason not mentioned),"Installation

Thru mail from dealer (Mr.Dharmender Malik)

S",aug,Patient monitors
BPLMVLSMEL300STR,(reason not mentioned),"Installation

Thru mail from Employee (Mr. Debjyoti Chatterj",aug,Lowenstein ventilators
BPLMVLSMEL300STR,(reason not mentioned),"Installation

Thru mail from employee (Mr. Debjyoti Chatterj",aug,Lowenstein ventilators
MPMEXCELLOD,(reason not mentioned),"Installation

Thru mail from dealer Electrocare Services 

S",aug,Patient monitors
MPMEXCELLOD,(reason not mentioned),"Installation

Thru mail from dealer Electrocare Services 

S",aug,Patient monitors
MPMEXCELLOD,(reason not mentioned),"Installation

Thru mail from dealer Electrocare Services 

S",aug,Patient monitors
