Ticket ID,Status,Created On,Account,Account ID,Product (Ticket ID),,Serial ID (Ticket ID),Service and Support Team,Ticket Type,Service Category,Work Description (Ticket),Incident Description (Ticket),Sales Unit,Agent,Created By,Resolved On Date,Closing Date,Changed By,City,Postal Code,State,Incident Category,Product Status,Ticket Source,Product Category ID (Affected Product Category),Product Category,,Date of Resolution (Ticket ID),Warranty (Registered Product),Warranty Start Date (Registered Product),Warranty End Date (Registered Product),Product (Ticket Item),Ticket Item,Defective Returns Required,Registered Product,Changed On,Open_Ticket_Years,Open_Ticket_Months,Open_Ticket_Days,Total_Open_Ticket_Days,Counter
868399,Closed,03.06.2023,CH Centre Hospital,7000105089,MECGGENX3,,JWMH2E4380,RINS MARKETING & SERVICES DEALER,Service Calls,Installation,#,"V3 LEAD NOT WORKING

Thru call from dealer rins marketing(sh",Kochi SO,MARKETING RINS,CALLCENTRE3 .,#,15.06.2023,MARKETING RINS,Varam,670594,Kerala,Not assigned,Available,Reported by Dealer,EC02,Electrocardiographs-Multi channel,,#,SALES WARRANTY,10.06.2022,09.06.2023,ECG MACHINE GEN X3i,MECGGENX3,X,ECG MACHINE GEN X3,15.06.2023,,,,,1
869417,Factory Spare Request,07.06.2023,RISHAVRAJ DIGITAL X-RAY CENTRE,7000106250,MBPLXRAD100FC,,JZMA2E1074,ASM NITISH KUMAR,Service Calls,Breakdown Calls,#,"TUBE SOUND COMING 

THRU MR ANSHU KUMAR 

7541839827",Kolkata SO,NITISH KUMAR,CALLCENTRE3 .,#,#,NITISH KUMAR,BETTIAH,845449,Bihar,Not assigned,Factory Spare Request,Reported by Customer,XR02,X-ray,,#,SALES WARRANTY,14.07.2022,13.07.2023,KIT FOR  MRAD100 TUBEHEAD COMPLETE ASSLY,900TUBEHEADCOPMAY,X,100mA Fixed LF X-Ray with FC Stand,22.06.2023,0,0,26,26,1
873945,Dispatch Factory,22.06.2023,AREA HOSPITAL,7000093856,MBPLMRAD3.6+DR-APR,,TGMA1K1063,MEDIC INDIA AP,Service Calls,Breakdown Calls,#,"Tube oil leakage

Thru call from customer(Satya narayana)

C",Vijaywada SO,MEDIC INDIA AP South,CALLCENTRE3 .,#,#,CALLCENTRE4 .,Kavali,524342,Andhra Pradesh,Not assigned,Available,Reported by Customer,XR02,X-ray,,#,SALES WARRANTY,23.06.2022,22.06.2023,BPL MONOBLOCK ASSEMBLY-SONIC 2,386MONBLKAY,X,3.5Kw Mobile HF X-Ray PLUS DR(APR),28.06.2023,0,0,11,11,1
867886,Closed,01.06.2023,SAI PRAYAG HOSPITAL,7000105827,MBPLXRAD300FC,,LKMA2B1158,Akhil Narayanan,Service Calls,Breakdown Calls,"Telescopic arm cleaned and refixed ,unit now working in good","Tube head got stuck.Customer contact 

Divya, 7025712104",Kochi SO,Akhil Narayanan,Akhil Narayanan,02.06.2023,02.06.2023,Akhil Narayanan,ALAPPUZHA,688007,Kerala,Not assigned,Not assigned,Reported by Customer,XR02,X-ray,,01.06.2023,SALES WARRANTY,30.06.2022,29.06.2023,Not assigned,#,X,X-Ray Machine XRAD-300,02.06.2023,,,,,1
870827,Closed,14.06.2023,The Service Point,7000000081,MSTSTMILLU-BPL,,RHMB2D1150,Dinesh Yadav,Service Calls,Breakdown Calls,"Checked and found that ""ERROR Acquisition device disconnecte",TREADMILL DISCONNECTED ERROR IS COMING,Bhopal SO,DINESH YADAV,DINESH YADAV,14.06.2023,15.06.2023,DINESH YADAV,Bhopal,462001,Madhya Pradesh,Accessories failure,Available,Reported by E-mail,CA02,STS-Stress test system,,14.06.2023,SALES WARRANTY,09.08.2022,08.08.2023,CA USB STR A/90LT B DX 3M_CAA-90LB-3M,CAB385003,X,STRESS TEST SYSTEM MILL- DYNATRAC ULTRA,15.06.2023,,,,,1
869385,Allotment,05.06.2023,CURE-D CLINIC,7000107956,MECG6208VIEWC,,DETE2F25649,ASM R VIJAY KUMAR,Service Calls,Breakdown Calls,#,"transformer complaint 

thru call from harishma",Chennai SO,VIJAYAKUMAR R,CALLCENTRE4 .,28.06.2023,#,VIJAYAKUMAR R,Avaniyapuram,625012,Tamil Nadu,Not assigned,Available,Reported by Dealer,EC02,Electrocardiographs-Multi channel,,#,SALES WARRANTY,31.10.2022,30.10.2023,6208VIEW/PLUS TRANSFORMER,13L9A002,X,ECG MACHINE 6208 VIEW PLUS,28.06.2023,0,0,28,28,1
870397,Closed,10.06.2023,Unique Lab,7000113242,MECG6208VIEWC,,DETE2F24849,BANSAL HEALTH CARE,Service Calls,Breakdown Calls,"Replace transformer after that problem was not reproduced.

","Transformer 6208 View Not Working

THRU MAIL FROM

BANSAL HE",Jaipur SO,BANSAL HEALTHCARE,CALLCENTRE2 .,#,28.06.2023,HITESH KUMAR,Dholpur,328001,Rajasthan,Not assigned,Not assigned,Reported by Dealer,EC02,Electrocardiographs-Multi channel,,26.06.2023,SALES WARRANTY,31.07.2022,30.07.2023,Not assigned,#,X,ECG MACHINE 6208 VIEW PLUS,28.06.2023,,,,,1
874938,Allotment,28.06.2023,Apex Hospital Mansarovar Private Limited,7000030448,MFD9714,,LMTA2G7238,ZEEPEX,Service Calls,Breakdown Calls,#,"Transducer not working

Thru mail from Dealer (ZEEPEX)


",Jaipur SO,M/s ZEEPEX,CALLCENTRE3 .,#,#,CALLCENTRE4 .,Jaipur,302020,Rajasthan,Not assigned,Not assigned,Reported by Dealer,GY02,Foetal Doppler,,#,SALES WARRANTY,20.03.2023,18.03.2024,Not assigned,#,X,BPL FETAL DOPPLER FD-9714,29.06.2023,0,0,5,5,1
870364,Resolved,09.06.2023,KIRAN HOSPITAL,7000106812,MBPLCRAYP,,HRMA2E1262,MEDIC INDIA AP,Service Calls,Breakdown Calls,#,"TOUCH PANEL HAVING A WHITE SCREEN ISSUE

Thru call from empl",Vijaywada SO,MEDIC INDIA AP South,CALLCENTRE3 .,26.06.2023,#,G HARINADHA BABU,KURNOOL,518001,Andhra Pradesh,Not assigned,Available,Reported by Employee,XR01,C-Arm,,23.06.2023,SALES WARRANTY,01.07.2022,30.06.2023,CABLE LCD-LCDIF POWER,CAB382017,#,BPL C-ARM MODEL C RAY PRIME,26.06.2023,0,0,24,24,1
872494,Closed,19.06.2023,RK MULTICARE HOSPITAL,7000112200,MPM5588UPT,,PATA1K1139,ASM_AMAN_PRASAD,Service Calls,Breakdown Calls,"TOUCH CONNECTOR WAS LOOSE, REFIXED THE CONNECTOR - MACHINE W","TOUCH NOT WORKING 

THRU MR AMAN 

 

",Kolkata SO,AMAN PRASAD JAISWAL,CALLCENTRE3 .,19.06.2023,20.06.2023,AMAN PRASAD JAISWAL,JHARSUGUDA,768201,Orissa,Loose Connections,Not assigned,Reported by Dealer,MP01,Patient monitors,,19.06.2023,SALES WARRANTY,09.04.2023,07.04.2024,Not assigned,#,X,ULTIMA PRIME WITH TOUCH,20.06.2023,,,,,1
867749,Closed,05.06.2023,Kids Clinic India Limited,7000032339,MFM9854,,EATB2L2165,ASM VIPIN SHARMA,Service Calls,Breakdown Calls,TOCO PRESSURE PROBLEM DEMO ISSUE WORKING OK,TOCO POBLEM,Delhi SO,VIPIN KUMAR SHARMA,VIPIN KUMAR SHARMA,#,05.06.2023,VIPIN KUMAR SHARMA,Gurgaon,122003,Haryana,Not assigned,Not assigned,Reported by Employee,GY03,Foetal Monitor,,#,SALES WARRANTY,23.02.2023,22.02.2024,Not assigned,#,X,FETAL MONITOR FM9854,05.06.2023,,,,,1
872306,Closed,19.06.2023,Suraksha Childrens Hospital,7000033437,FG5008230,,6140AL0400,JOHN DANIEL K P,Service Calls,Breakdown Calls,leak in patient circuit,tidal volume delivery complaint,Hyderabad SO,JOHN DANIEL K P,JOHN DANIEL K P,#,19.06.2023,JOHN DANIEL K P,"Secunderabad, Rangareddy",500017,Telangana,Not assigned,Not assigned,Reported by Customer,AW02,Penlon-Anaesthesia work station,,19.06.2023,SALES WARRANTY,26.08.2022,25.08.2023,Not assigned,#,X,Penlon Prima 320 Anesthesia Workstation,19.06.2023,,,,,1
872534,Dispatch Factory,19.06.2023,Surya Mother and Child Care Private Limited,7000012609,A62062,,200400114,ASM-MANIK BHAGAT,Service Calls,Breakdown Calls,suspected problem in temp probe. need to replace new one.,"Temperature Sensor not working

Thru call from customer (Par",Mumbai SO,Manik Maroti Bhagat,CALLCENTRE3 .,#,#,CALLCENTRE3 .,Wakad Pune,411057,Maharashtra,Not assigned,Available,Reported by Customer,MIC,Mother Infant Care,,19.06.2023,SALES WARRANTY,12.12.2022,11.12.2023,ADMITTANCE PANEL87043,BPL-AIR INCUI-87043,#,Air Incu i AC230V w/ Humidity Controller,24.06.2023,0,0,14,14,1
874293,Resolved,24.06.2023,S & S Medi-Equipments,7000000073,MBPLXRAD300FC,,LKMA2M1216,ASM BHUPENDRA SONI,Service Calls,Breakdown Calls,#,"Table not coming to zero position.

THRU MAIL FROM MR BHUPEN",Raipur SO,AKHILESH KUMAR MISHRA,CALLCENTRE3 .,26.06.2023,#,BHUPENDRA SONI,Raipur,492006,Chhattisgarh,Not assigned,Available,Reported by Dealer,XR02,X-ray,,16.06.2023,SALES WARRANTY,16.06.2023,14.06.2024,Multiposition Table (Manual Tilt),MBPLMULTIO,X,X-Ray Machine XRAD-300,29.06.2023,0,0,9,9,1
874473,Allotment,26.06.2023,PREET MEDICAL STORE,7000113338,MPMEXCELLOD,,EVTD3A13880,VARDHAMAN ENTERPRISES DEALER,Service Calls,Breakdown Calls,#,"Supply Not Working  

THRU MAIL FROM DINES CHANDRA VYAS",Jaipur SO,M/s VARDHAMAN ENTERPRISES,CALLCENTRE4 .,#,#,CALLCENTRE4 .,UDAIPUR,313027,Rajasthan,Not assigned,Not assigned,Reported by Dealer,MP01,Patient monitors,,#,SALES WARRANTY,02.02.2023,01.02.2024,Not assigned,#,X,MULTIPARA MONITOR EXCELLO-D,26.06.2023,0,0,7,7,1
869989,Closed,11.06.2023,V S M Hospital,7000023471,MPO5530,,DYMJ2J11250,Akhil Narayanan,Service Calls,Breakdown Calls,Spo2 sensor replaced,Spo2 varraiation,Kochi SO,Akhil Narayanan,Akhil Narayanan,11.06.2023,11.06.2023,Akhil Narayanan,Alappuzha,690103,Kerala,Not assigned,Available,Reported by E-mail,MP01,Patient monitors,,#,SALES WARRANTY,12.10.2022,11.10.2023,EXCELLO ECO PEDIA.CLIP SPO2 SENSOR 3M_P,13LBPL01_P,X,PULSE OXYMETER CLEO PLUS,11.06.2023,,,,,1
868428,Closed,07.06.2023,The Service Point,7000000081,MPM5588PRB,,DNTY2B20102,Dinesh Yadav,Service Calls,Breakdown Calls,Checked and found that SPO2 sensor is not working. After dia,SPO2 SENSOR NOT WORKING,Bhopal SO,DINESH YADAV,SATISH SINGH,07.06.2023,07.06.2023,DINESH YADAV,Bhopal,462001,Madhya Pradesh,Accessories failure,Available,Reported by E-mail,MP01,Patient monitors,,07.06.2023,SALES WARRANTY,27.05.2022,26.05.2023,NELLCOR OXIMAX RESUABLE OXIMETRY SENSOR,TDS-100A,X,ULTIMA PRIME,07.06.2023,,,,,1
867866,Resolved,02.06.2023,Sri Lakshmi Hospital,7000022915,M5588UPDIBPCO2SS,,DNTD2E20469,MEDIC INDIA AP,Service Calls,Breakdown Calls,PT.Cable assly replaced,"SPO2 Probe not working

THRU MAIL FROM

G Harinadha babu",Vijaywada SO,MEDIC INDIA AP South,CALLCENTRE2 .,11.06.2023,#,G HARINADHA BABU,Ongole,523002,Andhra Pradesh,Accessories failure,Available,Reported by Dealer,MP01,Patient monitors,,05.06.2023,SALES WARRANTY,12.12.2022,11.12.2023,ECO SPO2 ADT PROBE 3MTRS :BPL,91MED087,X,ULTIMA PRIME D IBP ETC02 SS,11.06.2023,0,1,1,31,1
871340,Closed,14.06.2023,Shehra Hospital,7000112663,MPMEXCELLOD,,EVTD2H13273,ASM RAKESH PANDEY,Service Calls,Breakdown Calls,#,"SPO2 Probe not working

Thru call from dealer(ID meditech)

",Kolkata SO,Rakesh Kumar Pandey,CALLCENTRE3 .,#,16.06.2023,Rakesh Kumar Pandey,Motihari,845401,Bihar,Loose Connections,Not assigned,Reported by Dealer,MP01,Patient monitors,,15.06.2023,SALES WARRANTY,06.03.2023,04.03.2024,Not assigned,#,X,MULTIPARA MONITOR EXCELLO-D,16.06.2023,,,,,1
873065,Dispatch Factory,21.06.2023,VIJAY SUPERSPECIALITY HOSPITAL,7000113084,MPM5588PRB,,DNTY3C22641,MASTEL MEDICAL SYSTEMS PVT.LTD. DEALER,Service Calls,Breakdown Calls,#,"spo2 probe intermittently work , intermittently showing grap",Lucknow SO,M/s MASTEL MEDICAL SYSTEMS PRIVATE LIMI,Krishna Bihari Pathak,#,#,CALLCENTRE3 .,AZAMGARH,276001,Uttar Pradesh,Display issue,Available,Reported by E-mail,MP01,Patient monitors,,#,SALES WARRANTY,30.04.2023,28.04.2024,ULTIMA PRIME NELLCOR SPO2 MODULE,11L5A008,X,ULTIMA PRIME,23.06.2023,0,0,12,12,1
874914,Allotment,28.06.2023,Fortis Nursing Home,7000100957,MPMEXCELLOD,,EVTD3C14458,ELECTROCARE SERVICES DEALER,Service Calls,Breakdown Calls,#,"SPO2 NOT COMING 

 THRU MAIL FROM 

ELECTROCARE SERVICES",Kolkata SO,M/s ELECTROCARE SERVICES,CALLCENTRE3 .,#,#,JAYANT SARMAH,Medinpur,721636,West Bengal,Not assigned,Available,Reported by Dealer,MP01,Patient monitors,,#,SALES WARRANTY,05.06.2023,03.06.2024,ECO SPO2 ADT PROBE 3MTRS :BPL,91MED087,X,MULTIPARA MONITOR EXCELLO-D,03.07.2023,0,0,5,5,1
873918,Closed,22.06.2023,Medford Hospital,7000111071,MPM5588UPDS,,DNTD2A19391,ASM_DATTATRAYA_ASHRUBA,Service Calls,Breakdown Calls,As per inspection No issue found with the probe.its working,"SPO2 ISSUE

THRU MAIL FROM AJIT PARAB 

",Mumbai SO,DATTATRAYA ASHRUBA SABNE,CALLCENTRE4 .,#,23.06.2023,DATTATRAYA ASHRUBA SABNE,Kausa Mumbra,400612,Maharashtra,Not assigned,Not assigned,Reported by Employee,MP01,Patient monitors,,21.06.2023,SALES WARRANTY,01.02.2023,31.01.2024,Not assigned,#,X,ULTIMA PRIME WITH DIGITAL SPO2,23.06.2023,,,,,1
874871,Allotment,28.06.2023,SAHID KHURDIRAM BOSE  HOSPITAL,7000103912,MPM5588UPDS,,DNTD1F16190,ELECTROCARE SERVICES DEALER,Service Calls,Breakdown Calls,#,"SPO2 ISSUE

O/W

THRU MAIL FROM ELECTROCARE SERVICES",Kolkata SO,M/s ELECTROCARE SERVICES,CALLCENTRE4 .,#,#,CALLCENTRE4 .,KOLKATA,700056,West Bengal,Not assigned,Not assigned,Reported by Dealer,MP01,Patient monitors,,#,SALES WARRANTY,24.06.2023,22.06.2024,Not assigned,#,X,ULTIMA PRIME WITH DIGITAL SPO2,28.06.2023,0,0,5,5,1
871740,Dispatch Factory,15.06.2023,S.K.R Hospital,7000113078,MPM5588UPDS,,DNTD2K21486,JOULE THE MEDICAL ENERGY DEALER,Service Calls,Breakdown Calls,#,"spo2 fault

THRU MAIL FROM

JOULE THE MEDICAL ENERGY",Punjab SO,M/s JOULE THE MEDICAL ENERGY,CALLCENTRE2 .,#,#,CALLCENTRE2 .,Pathankot,145001,Punjab,Not assigned,Available,Reported by Dealer,MP01,Patient monitors,,#,SALES WARRANTY,11.01.2023,10.01.2024,EXCELLO ECO BM-100 MODULE BOARD,11L5A001,X,ULTIMA PRIME WITH DIGITAL SPO2,22.06.2023,0,0,18,18,1
871342,Allotment,14.06.2023,shree child care hospital research centr,7000106727,MPMNSN7M,,KBMA2C1530,BANSAL AGENCY  DEALER,Service Calls,Breakdown Calls,#,"SPO2 Board issue

Thru call from employee(Mr.manesh)

O/W

S",Bhopal SO,M/s BANSAL AGENCY,CALLCENTRE3 .,#,#,CALLCENTRE3 .,badnanagar,456771,Madhya Pradesh,Not assigned,Not assigned,Reported by Employee,MP01,Patient monitors,,#,SALES WARRANTY,19.05.2022,18.05.2023,Not assigned,#,X,BPL MPM NEO SIGN N7 WITH MASIMO SPO2,14.06.2023,0,0,19,19,1
